timer,hart,hart_rolling_mean
152.152676845,514,514.75862069
153.007467164,514,514.735632184
153.862257484,514,514.712643678
154.717047803,514,514.67816092
155.571838123,513,514.632183908
156.426628442,513,514.586206897
157.281418761,515,514.586206897
158.136209081,514,514.551724138
158.9909994,515,514.540229885
159.845789719,514,514.517241379
160.700580039,514,514.505747126
161.555370358,515,514.517241379
162.410160677,515,514.528735632
163.264950997,515,514.528735632
164.119741316,516,514.563218391
164.974531635,517,514.609195402
165.829321955,516,514.643678161
166.684112274,515,514.666666667
167.538902594,516,514.689655172
168.393692913,516,514.712643678
169.248483232,515,514.712643678
170.103273552,513,514.689655172
170.958063871,514,514.689655172
171.81285419,514,514.689655172
172.66764451,513,514.67816092
173.522434829,514,514.666666667
174.377225148,514,514.655172414
175.232015468,515,514.655172414
176.086805787,514,514.643678161
176.941596106,515,514.643678161
177.796386426,516,514.655172414
178.651176745,515,514.666666667
179.505967064,515,514.655172414
180.360757384,515,514.655172414
181.215547703,516,514.666666667
182.070338023,515,514.655172414
182.925128342,515,514.655172414
183.779918661,515,514.643678161
184.634708981,516,514.666666667
185.4894993,515,514.655172414
186.344289619,515,514.643678161
187.199079939,516,514.655172414
188.053870258,515,514.666666667
188.908660577,514,514.666666667
189.763450897,513,514.643678161
190.618241216,514,514.643678161
191.473031535,513,514.632183908
192.327821855,513,514.609195402
193.182612174,513,514.574712644
194.037402493,513,514.551724138
194.892192813,514,514.551724138
195.746983132,513,514.528735632
196.601773452,515,514.540229885
197.456563771,515,514.563218391
198.31135409,516,514.586206897
199.16614441,516,514.609195402
200.020934729,517,514.655172414
200.875725048,518,514.712643678
201.730515368,517,514.747126437
202.585305687,517,514.75862069
203.440096006,516,514.75862069
204.294886326,517,514.781609195
205.149676645,515,514.770114943
206.004466964,514,514.75862069
206.859257284,513,514.747126437
207.714047603,514,514.724137931
208.568837923,512,514.689655172
209.423628242,511,514.632183908
210.278418561,513,514.597701149
211.133208881,514,514.586206897
211.9879992,512,514.551724138
